username,tweetText,postTimeRaw,scrapeTime,tag,postTime,year,month,day
@Nanaleemarkk,สอบถามหน่อยค่า โครงการธรรมศาสตร์ช้างเผือกใช้เกียรติบัตรออนไลน์ได้มั้ยคะ #ธรรมศาสตร์ช้างเผือก #dek67  #มธ,2024-01-05 15:34:49,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-01-05 15:34:49,2025,1,5
@MEENSHI2,เกณฑ์ออกแล้ว ลุยกันเลย #DEK67 #ธรรมศาสตร์ช้างเผือก,2023-12-01 05:31:41,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2024-12-01 05:31:41,2024,12,1
@redrab_it,Tgat ผ่านเกณฑ์คือต้องได้คะแนนเท่าไรคะ #ธรรมศาสตร์ช้างเผือก,2023-11-15 06:34:08,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2024-11-15 06:34:08,2024,11,15
@MM171oi,เด็ก67 ใครเตรียมตัวยื่นขอทุน เมคเฟรนกันได้นะะ  #มธ #ธรรมศาสตร์ช้างเผือก #เด็ก67,2023-10-05 12:50:48,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2024-10-05 12:50:48,2024,10,5
@_bxmx_,ต้องอยู่หอในทุกคนไหมคะ   #ธรรมศาสตร์ช้างเผือก,2023-06-08 00:08:02,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2024-06-08 00:08:02,2024,6,8
@ppeatstrawberry,"เธรดประสบการณ์ยื่น ศิลปกรรมศาสตร์ แฟชั่น #ธรรมศาสตร์ช้างเผือก #dek66 #dek67 #dek68 #มธ
 *แก้บน*",2023-06-02 08:58:10,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2024-06-02 08:58:10,2024,6,2
@Fngkkkk59,สวัสดีค่า น้องคณะศิลปศาสตร์ ช้างเผือก66 รบกวนเข้ากลุ่มหน่อยน้า ไว้แจ้งข่าวสารต่างๆทางคณะเราและสอบถามเรื่องที่สงสัยกับพี่ๆได้เลย #ธรรมศาสตร์ช้างเผือก #dek66 #ทีมมธ,2023-05-27 15:11:48,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2024-05-27 15:11:48,2024,5,27
@nuttakamonsrit1,"#ธรรมศาสตร์ช้างเผือก #dek66 #ทีมมธ 
สวัสดีน้องๆโครงการธรรมศาสตร์ช้างเผือกปี66ทุกคนนะคะ
พี่ได้สร้างกลุ่มไลน์ไว้สำหรับน้องๆทุกคนแล้วนะ สามารถเข้ากลุ่มได้จากคิวอาร์โค้ดนี้เลย ถ้ามีคำถามหรือข้อสงสัยเราจะร่วมพูดคุยกันในกลุ่มไลน์นี้นะคะ สามารถสอบถามพี่ๆได้จากกลุ่มนี้ค่ะ",2023-05-27 10:59:27,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2024-05-27 10:59:27,2024,5,27
@wskuru,คนนี้มายไอดอลเลย ตั้งแต่ 14 ตุลาคนรุ่นใหม่น่าศึกษาคำว่า สุภาพบุรุษประชาธิปไตย คนนี้ใช้ได้เลย ผ่านร้อนผ่านหนาว คุณสมบัติเป็นนายกไทยได้สบาย แต่บ้านเมืองเราก็รู้อยู่ คนดีมีไว้ทำลาย ไม่ก็ไล่ออกนอกประเทศ นับถือคนนี้จากใจคนวัยเดียวกัน #ธรรมศาสตร์ช้างเผือก  #สุภาพบุรุษประชาธิไตย,2023-05-23 06:05:40,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2024-05-23 06:05:40,2024,5,23
@ibitkiki,หาเมทหอใน หอC/B ได้หมดเลยค่ะ มีใครหาเมือยู่ไหมคะ #ธรรมศาสตร์ช้างเผือก #หอในมธ #หอมธ #ทีมมธ,2023-05-08 12:15:37,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-05-08 12:15:37,2025,5,8
@Hoseok_NR,#ธรรมศาสตร์ช้างเผือก #dek66,2023-05-07 06:55:04,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-05-07 06:55:04,2025,5,7
